120 DIMC(26,26):FORX=0TO25:FORY=0TO25:READC(X,Y):NEXTY,X:CLS:CSAVE*C,"LVL1DATA":END
1000 DATA1,9,9,9,9,9,9,9,9,3,3,3,1,1,0,1,1,74,73,77,0,0,0,0,0,0
1001 DATA0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002 DATA0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3
1003 DATA0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1004 DATA0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,1,1
1005 DATA0,0,1,0,1,0,1,0,1,0,5,0,1,5,0,2,0,0,0,1,0,0,1,0,1,0
1006 DATA0,0,1,0,1,0,1,0,2,0,0,0,2,0,0,1,0,0,5,1,0,0,1,0,2,0
1007 DATA0,0,1,0,5,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
1008 DATA0,0,1,0,0,0,1,0,0,0,0,1,0,0,5,1,0,5,0,5,0,1,1,0,0,1
1009 DATA0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,2,0,2,0,2,0,2,0,0,0,1
1010 DATA0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
1011 DATA0,0,0,0,5,0,0,1,0,0,2,0,1,0,0,2,0,2,0,2,0,2,0,1,0,1
1012 DATA0,0,1,1,1,1,1,1,0,0,1,0,0,0,5,1,0,5,0,5,0,5,0,1,0,1
1013 DATA0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1014 DATA0,0,1,0,0,0,0,5,0,0,0,0,5,1,1,1,1,1,1,0,0,5,1,2,1,1
1015 DATA0,0,1,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1016 DATA0,0,5,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1017 DATA0,0,0,0,1,1,1,1,1,1,1,0,1,5,0,1,1,2,1,2,1,0,0,0,0,2
1018 DATA0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,1,0,1,0,5,0,0,1,1,1
1019 DATA0,0,4,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1
1020 DATA0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
1021 DATA0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0
1022 DATA0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1023 DATA0,0,0,0,1,0,5,0,0,5,0,0,1,0,5,0,0,5,0,5,0,0,1,2,1,1
1024 DATA0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1025 DATA0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
