10 T=3
20 RESTORE
30 READD
50 IFD=255THEN20
60 SOUNDD,T
70 GOTO 30
100 DATA 175,175,189,193,204,204,210,204
110 DATA 175,218,213,210,204,197,193,185
120 DATA 175,175,189,193,204,204,210,204
130 DATA 175,218,213,210,204,197,193,185
140 DATA 197,197,207,210,218,218,223,218
150 DATA 197,218,213,210,204,197,193,185
160 DATA 175,175,189,193,204,204,210,204
170 DATA 175,218,213,210,204,197,193,185
180 DATA 204,204,216,218,223,223,218,216
190 DATA 197,197,207,210,218,218,207,210
200 DATA 175,175,189,193,204,204,210,204
210 DATA 175,218,213,210,204,197,193,185
220 DATA 255
